"INSTRUMENT TYPE 
","SYMBOL 
","EXPIRY DATE 
","OPTION TYPE 
","STRIKE 
","LTP 
","CHNG 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","VOLUME 
(Contracts)","VALUE 
 (₹ Crores)","OPEN INTEREST 
","UNDERLYING VALUE 
"
"Index Options","NIFTY","30-May-2024","Put","23,000.00","126.10","-19.05","-13.12","120.15","176.80","68.35","54,53,418","1,512.91","2,85,787","22,932.45"
"Index Options","NIFTY","30-May-2024","Call","23,000.00","127.60","-35.50","-21.77","160.45","249.90","93.75","44,43,301","1,931.28","2,56,190","22,932.45"
"Index Options","NIFTY","30-May-2024","Call","23,100.00","84.40","-28.30","-25.11","99.95","181.95","58.20","34,66,407","1,133.17","1,95,128","22,932.45"
"Index Options","NIFTY","30-May-2024","Put","22,900.00","87.15","-19.45","-18.25","97.00","125.90","46.55","30,43,385","611.57","1,53,564","22,932.45"
"Index Options","NIFTY","30-May-2024","Call","23,200.00","51.00","-23.00","-31.08","70.05","124.75","34.35","28,24,239","590.76","2,07,856","22,932.45"
"Index Options","NIFTY","30-May-2024","Call","23,500.00","10.45","-6.55","-38.53","16.95","27.50","8.30","24,90,094","111.49","3,47,231","22,932.45"
"Index Options","NIFTY","30-May-2024","Put","23,100.00","180.00","-15.15","-7.76","159.85","241.20","100.00","23,89,850","837.28","69,806","22,932.45"
"Index Options","NIFTY","30-May-2024","Put","22,800.00","58.50","-17.35","-22.87","50.00","88.00","31.90","21,42,351","289.00","1,79,219","22,932.45"
"Index Options","NIFTY","30-May-2024","Call","23,300.00","30.00","-16.35","-35.28","43.40","80.50","20.15","21,13,719","277.37","1,45,580","22,932.45"
"Index Options","NIFTY","30-May-2024","Put","22,950.00","106.90","-18.80","-14.96","116.75","149.85","56.60","20,50,336","502.74","77,402","22,932.45"
"Index Options","NIFTY","30-May-2024","Call","23,050.00","105.00","-31.40","-23.02","130.20","214.85","74.20","19,81,810","765.23","74,099","22,932.45"
"Index Options","NIFTY","30-May-2024","Put","23,050.00","152.00","-17.25","-10.19","150.00","207.45","82.90","18,86,376","577.33","45,892","22,932.45"
"Index Options","NIFTY","30-May-2024","Call","23,150.00","66.70","-25.25","-27.46","99.30","152.00","45.10","17,55,929","464.66","82,864","22,932.45"
"Index Options","NIFTY","30-May-2024","Call","24,000.00","2.25","-0.90","-28.57","2.95","3.80","2.10","17,44,935","11.56","4,72,047","22,932.45"
"Index Options","NIFTY","30-May-2024","Call","23,400.00","17.00","-10.75","-38.74","27.45","48.15","12.10","16,41,242","124.69","1,58,968","22,932.45"
"Index Options","NIFTY","30-May-2024","Put","22,700.00","39.70","-14.25","-26.41","44.75","59.50","22.05","15,40,885","138.49","1,96,869","22,932.45"
